Term_Code,Subject_Code,Division,Catalog_Number,Section,Component_Code,Class_NBR,CLASS_DESCR,Day10_Enroll,class_duration_weekly,Enrl_Cap,Instruction_Mode,TL_Building,TL_Room,SA Facility ID,SA Building Code,SA Building Description,SA Building Short Description,SA Facility Room Number,SA Facility Description,SA Facility Short Description,SA Facility Location,SA Facility Academic Organization,SA Facility Type,SA Facility Capacity,Class_Start_Time,Class_End_Time,Class_Days,AGNROther,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,Exploratory,Finance,GeographySustainab,History,HumanDevelopmentFa,HumanRights,Individualized,InstituteforSystem,Interdisciplinary,InternationalStudi,Journalism,Kinesiology,LatinoLatinAmerica,Law,Linguistics,LiteraturesCulture,Management,MarineSciences,MaritimeStudies,Marketing,MaterialsScienceEn,Mathematics,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,PublicPolicy,RoboticsEngineerin,SocialCriticalInqu,SocialWork,Sociology,SpeechLanguageHear,StatisticalDataSci,Statistics,UConnHealthOther,Sum_Enrollment
1248,ECON,UD,3431,801,LSA,11217,Public Economics,20,2:30,35,P,DWTN,3117,300400058,3004,Downtown Stamford,DWTN,3117,DWTN 3117,DWTN 3117,STAMFORD,,CSRM,44,03:30:00 PM,04:45:00 PM,NNYNYNN,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,19
1248,ECON,UD,3438W,001,LEC,9311,Contemp Problems in Economics,78,1:40,114,P,ITE,C80,043400018,0434,Info Tech Engineering Building,ITE,C80,ITE C80,ITE C80,STORRS,,CSRM,350,02:30:00 PM,03:20:00 PM,NYNYNNN,,,,,,,,,,,,,,,,,1,,,,,,,,65,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,78
1248,ECON,UD,3438W,001D,DIS,9312,Contemp Problems in Economics,19,0:50,19,P,HAWL,204,000600003,0006,Willis Nichols Hawley Armory,HAWL,204,HAWL 204,HAWL 204,STORRS,,CSRM,24,03:35:00 PM,04:25:00 PM,NNNYNNN,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,19
1248,ECON,UD,3438W,002D,DIS,9313,Contemp Problems in Economics,11,0:50,19,P,BOUS,A105,034900010,0349,Bousfield Psychology Building,BOUS,A105,BOUS A105,BOUS A105,STORRS,,CSRM,25,04:40:00 PM,05:30:00 PM,NNNYNNN,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,11
1248,ECON,UD,3438W,003D,DIS,9314,Contemp Problems in Economics,16,0:50,19,P,BOUS,A105,034900010,0349,Bousfield Psychology Building,BOUS,A105,BOUS A105,BOUS A105,STORRS,,CSRM,25,03:30:00 PM,04:20:00 PM,NNNNYNN,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16
1248,ECON,UD,3438W,004D,DIS,9315,Contemp Problems in Economics,7,0:50,19,P,MCHU,309,048700019,0487,Lawrence D. McHugh Hall,MCHU,309,MCHU 309,MCHU 309,STORRS,,CSRM,25,04:40:00 PM,05:30:00 PM,NNNNYNN,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7
1248,ECON,UD,3438W,005D,DIS,9316,Contemp Problems in Economics,17,0:50,19,P,SHH,401,048600026,0486,Susan V. Herbst Hall,SHH,401,SHH 401,SHH 401,STORRS,,CSRM,25,03:35:00 PM,04:25:00 PM,NNNYNNN,,,,,,,,,,,,,,,,,1,,,,,,,,13,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,17
1248,ECON,UD,3438W,006D,DIS,9317,Contemp Problems in Economics,8,0:50,19,P,HBL,2153,036400001,0364,Homer Babbidge Library,HBL,2153,HBL 2153,HBL 2153,STORRS,,CSRM,30,04:40:00 PM,05:30:00 PM,NNNYNNN,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1248,ECON,UD,3438W,801,LSA,11218,Contemp Problems in Economics,19,1:40,19,HL,DWTN,107,300400003,3004,Downtown Stamford,DWTN,107,DWTN 107,DWTN 107,STAMFORD,,CSRM,23,11:15:00 AM,12:05:00 PM,NYNYNNN,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
1248,ECON,UD,3461,001,LSA,9318,Organization of Industry,33,2:30,35,P,SHH,104,048600002,0486,Susan V. Herbst Hall,SHH,104,SHH 104,SHH 104,STORRS,,CSRM,40,01:25:00 PM,02:15:00 PM,NYNYNYN,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,33
