Subject_Code,Subject_Course,CLASS_DESCR,building,building_code,Room,Term_Code,TERM,Catalog_Number,Section,class_duration_weekly,Duration_minutes,Division,Component_Code,Class_NBR,Day10_Enroll,WSCH_Max,Enrl_Cap,Capacity,Room_Description,ACES,AGNROther,AcademicServices,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AmericanStudies,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,ComputerScienceEng,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,EnvironmentalStudi,Exploratory,Finance,Geography,GlobalAffairs,History,HumanDevelopmentFa,Individualized,Interdisciplinary,Journalism,Kinesiology,LatinoLatinAmerica,Linguistics,LiteraturesCulture,Management,MarineSciences,Marketing,MaterialsScienceEn,Mathematics,MechanicalEngineer,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,No_Department,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,RoboticsEngineerin,SocialWork,Sociology,SpeechLanguageHear,Statistics,UConnHealthOther,UrbanCommunityStud,WomenGenderSexuali,Sum_Enrollment,Bldg_Description
BIOL,BIOL_1108,Principles of Biology II,252,TLS,91,1238,Fall 2023,1108,006L,2:45,165,LD,LAB,12765,19,66,20,24,Class Laboratory,,2,,,,,1,,1,,,,7,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,19,TORREY LIFE SCIENCES BUILDING
BIOL,BIOL_1108,Principles of Biology II,252,TLS,91,1238,Fall 2023,1108,027L,2:45,165,LD,LAB,7399,16,66,20,24,Class Laboratory,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,2,,,1,,,,,,16,TORREY LIFE SCIENCES BUILDING
ART,ART_3610,Ceramics: Vessel Constructions,60,ACS,100,1238,Fall 2023,3610,1,5:30,330,UD,LAB,14029,10,110,10,20,Class Laboratory,,,,,,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
ART,ART_3615,Ceramics: Wheel Work,60,ACS,100,1238,Fall 2023,3615,1,5:30,330,UD,LAB,9627,9,110,10,20,Class Laboratory,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
DRAM,DRAM_1801,Stage Movement I,233,DRMU,101,1238,Fall 2023,1801,1,3:50,230,LD,LAB,4043,11,77,16,20,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DRAMA MUSIC BUILDING
DRAM,DRAM_2701,Acting III,233,DRMU,101,1238,Fall 2023,2701,1,4:00,240,LD,LAB,5231,11,80,15,20,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DRAMA MUSIC BUILDING
DRAM,DRAM_2810,Stage Movement III,233,DRMU,101,1238,Fall 2023,2810,1,3:50,230,LD,LAB,5886,11,77,16,20,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DRAMA MUSIC BUILDING
ART,ART_2410,"Basic Studio, Photography",365,ARTB,101,1238,Fall 2023,2410,2,5:30,330,LD,LAB,6295,9,110,10,20,Class Laboratory,,,,,,,,,,,3,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,SCHOOL OF FINE ARTS - ART
ART,ART_2410,"Basic Studio, Photography",365,ARTB,101,1238,Fall 2023,2410,3,5:30,330,LD,LAB,14010,7,110,10,20,Class Laboratory,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,SCHOOL OF FINE ARTS - ART
ART,ART_2410,"Basic Studio, Photography",365,ARTB,101,1238,Fall 2023,2410,1,5:30,330,LD,LAB,2928,9,110,10,20,Class Laboratory,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,SCHOOL OF FINE ARTS - ART
